candidate_id,rank,score,reasoning
CAND_0083307,68,0.7966,"Search Engineer with 7.8 yrs; career evidence for embeddings, retrieval, ranking; 5 relevant AI/search skill groups; 7.7 yrs outside pure services; response rate 0.70. Concern: 120-day notice."
CAND_0028793,69,0.7962,"Search Engineer with 7.2 yrs; career evidence for embeddings, retrieval, ranking; 5 relevant AI/search skill groups; 7.1 yrs outside pure services; response rate 0.57. Concern: 120-day notice."
CAND_0083879,70,0.7959,"Machine Learning Engineer with 7.1 yrs; career evidence for embeddings, retrieval, ranking; 3 relevant AI/search skill groups; 7.0 yrs outside pure services; response rate 0.47."
CAND_0036184,71,0.7946,"Recommendation Systems Engineer with 6.0 yrs; career evidence for embeddings, retrieval, ranking; 5 relevant AI/search skill groups; 5.9 yrs outside pure services; response rate 0.90."
CAND_0099806,72,0.7939,"AI Engineer with 4.6 yrs; career evidence for embeddings, retrieval, ranking; 4 relevant AI/search skill groups; 4.5 yrs outside pure services; response rate 0.76."
CAND_0041568,73,0.7917,"Search Engineer with 5.2 yrs; career evidence for embeddings, retrieval, ranking; 5 relevant AI/search skill groups; 5.1 yrs outside pure services; response rate 0.52. Concern: 90-day notice."
CAND_0008425,74,0.7912,"Senior NLP Engineer with 7.8 yrs; career evidence for embeddings, retrieval, ranking; 5 relevant AI/search skill groups; 7.7 yrs outside pure services; response rate 0.66. Concern: 90-day notice."
CAND_0066376,75,0.7903,"Applied ML Engineer with 5.7 yrs; career evidence for embeddings, retrieval, ranking; 4 relevant AI/search skill groups; 5.6 yrs outside pure services; response rate 0.51. Concern: 90-day notice."
CAND_0000031,76,0.7896,"Recommendation Systems Engineer with 6.0 yrs; career evidence for embeddings, retrieval, ranking; 5 relevant AI/search skill groups; 5.8 yrs outside pure services; response rate 0.91."
CAND_0084819,77,0.7896,"Search Engineer with 4.5 yrs; career evidence for embeddings, retrieval, ranking; 5 relevant AI/search skill groups; 4.4 yrs outside pure services; response rate 0.74. Concern: 120-day notice."
CAND_0081852,78,0.7887,"Senior Data Scientist with 5.9 yrs; career evidence for embeddings, retrieval, ranking; 3 relevant AI/search skill groups; 5.8 yrs outside pure services; response rate 0.44."
CAND_0064270,79,0.7875,"Applied ML Engineer with 4.2 yrs; career evidence for embeddings, retrieval, ranking; 4 relevant AI/search skill groups; 4.2 yrs outside pure services; response rate 0.82."
CAND_0053695,80,0.7862,"Recommendation Systems Engineer with 5.8 yrs; career evidence for embeddings, retrieval, ranking; 5 relevant AI/search skill groups; 5.7 yrs outside pure services; response rate 0.60."
CAND_0072688,81,0.7857,"Data Scientist with 6.9 yrs; career evidence for retrieval, ranking, vector search; 4 relevant AI/search skill groups; 6.8 yrs outside pure services; response rate 0.87."
CAND_0074225,82,0.7849,"Machine Learning Engineer with 4.3 yrs; career evidence for embeddings, retrieval, ranking; 5 relevant AI/search skill groups; 4.2 yrs outside pure services; response rate 0.91. Concern: 120-day notice."
CAND_0041610,83,0.7848,"Recommendation Systems Engineer with 6.7 yrs; career evidence for embeddings, retrieval, ranking; 5 relevant AI/search skill groups; 6.6 yrs outside pure services; response rate 0.52."
CAND_0089947,84,0.7846,"Junior ML Engineer with 5.4 yrs; career evidence for embeddings, retrieval, ranking; 5 relevant AI/search skill groups; 5.3 yrs outside pure services; response rate 0.59. Concern: 90-day notice."
CAND_0051292,85,0.7844,"Applied ML Engineer with 5.2 yrs; career evidence for embeddings, retrieval, ranking; 3 relevant AI/search skill groups; 5.0 yrs outside pure services; response rate 0.52."
CAND_0037160,86,0.7832,"Data Scientist with 6.0 yrs; career evidence for embeddings, retrieval, ranking; 4 relevant AI/search skill groups; 4.7 yrs outside pure services; response rate 0.74."
CAND_0031593,87,0.7830,"Search Engineer with 7.8 yrs; career evidence for embeddings, retrieval, ranking; 4 relevant AI/search skill groups; 7.7 yrs outside pure services; response rate 0.58. Concern: 90-day notice."
CAND_0086022,88,0.7829,"Senior Applied Scientist with 5.3 yrs; career evidence for embeddings, retrieval, ranking; 5 relevant AI/search skill groups; 5.2 yrs outside pure services; response rate 0.55."
CAND_0096142,89,0.7806,"Applied ML Engineer with 5.0 yrs; career evidence for embeddings, retrieval, ranking; 4 relevant AI/search skill groups; 5.0 yrs outside pure services; response rate 0.84. Concern: 120-day notice."
CAND_0052335,90,0.7799,"Applied ML Engineer with 6.4 yrs; career evidence for embeddings, retrieval, ranking; 3 relevant AI/search skill groups; 6.3 yrs outside pure services; response rate 0.79."
CAND_0054100,91,0.7795,"Junior ML Engineer with 6.0 yrs; career evidence for retrieval, ranking, vector search; 3 relevant AI/search skill groups; 5.9 yrs outside pure services; response rate 0.79."
CAND_0047492,92,0.7793,"ML Engineer with 4.8 yrs; career evidence for embeddings, retrieval, ranking; 5 relevant AI/search skill groups; 4.7 yrs outside pure services; response rate 0.71. Concern: 90-day notice."
CAND_0046064,93,0.7790,"Senior NLP Engineer with 8.9 yrs; career evidence for embeddings, retrieval, ranking; 4 relevant AI/search skill groups; 8.8 yrs outside pure services; response rate 0.78."
CAND_0030784,94,0.7787,"Data Scientist with 4.4 yrs; career evidence for embeddings, retrieval, ranking; 5 relevant AI/search skill groups; 4.3 yrs outside pure services; response rate 0.90. Concern: 90-day notice."
CAND_0005260,95,0.7784,"Senior NLP Engineer with 5.2 yrs; career evidence for embeddings, retrieval, ranking; 5 relevant AI/search skill groups; 5.1 yrs outside pure services; response rate 0.86."
CAND_0050876,96,0.7784,"Applied ML Engineer with 6.0 yrs; career evidence for embeddings, ranking, vector search; 3 relevant AI/search skill groups; 5.9 yrs outside pure services; response rate 0.67. Concern: 90-day notice."
CAND_0039383,97,0.7778,"Applied ML Engineer with 7.1 yrs; career evidence for embeddings, retrieval, ranking; 3 relevant AI/search skill groups; 7.0 yrs outside pure services; response rate 0.61. Concern: 90-day notice."
CAND_0036520,98,0.7771,"Data Scientist with 4.2 yrs; career evidence for embeddings, retrieval, ranking; 5 relevant AI/search skill groups; 4.1 yrs outside pure services; response rate 0.39."
CAND_0089546,99,0.7764,"Machine Learning Engineer with 4.8 yrs; career evidence for retrieval, ranking, vector search; 4 relevant AI/search skill groups; 4.8 yrs outside pure services; response rate 0.64. Concern: 90-day notice."
CAND_0039521,100,0.7739,"Search Engineer with 3.0 yrs; career evidence for embeddings, retrieval, ranking; 5 relevant AI/search skill groups; 4.9 yrs outside pure services; response rate 0.41."
